               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.010911,           0.0058789,            0.010434,             0.93318,              0.9634,              0.9628,             0.90062,           0.0053477,           0.0025655,           0.0022288,            0.003584,            0.003584,            0.003584
                  66,            0.010822,           0.0058478,            0.010374,             0.93382,             0.96289,             0.96311,             0.90113,           0.0053363,           0.0025637,           0.0022254,            0.003457,            0.003457,            0.003457
                  67,             0.01074,           0.0058192,            0.010111,             0.93986,             0.95786,             0.96353,               0.902,           0.0053134,           0.0025629,            0.002219,           0.0033321,           0.0033321,           0.0033321
                  68,            0.010671,           0.0058219,            0.010058,             0.94056,             0.95764,             0.96393,             0.90276,           0.0052956,           0.0025616,           0.0022163,           0.0032093,           0.0032093,           0.0032093
                  69,            0.010621,           0.0057924,           0.0097822,              0.9364,             0.95999,             0.96416,             0.90343,           0.0052646,           0.0025608,           0.0022238,           0.0030888,           0.0030888,           0.0030888
                  70,            0.010558,            0.005737,           0.0098371,             0.94546,             0.95045,             0.96442,             0.90425,           0.0052359,           0.0025605,           0.0022331,           0.0029706,           0.0029706,           0.0029706
                  71,            0.010436,            0.005706,           0.0093235,             0.94437,             0.95132,              0.9646,              0.9046,           0.0052183,           0.0025594,           0.0022427,            0.002855,            0.002855,            0.002855
                  72,            0.010356,           0.0057071,           0.0093812,             0.94477,             0.95233,             0.96499,             0.90553,            0.005189,           0.0025551,           0.0022396,           0.0027419,           0.0027419,           0.0027419
                  73,            0.010282,           0.0056809,            0.009179,             0.94648,             0.95061,             0.96545,              0.9064,           0.0051723,           0.0025525,           0.0022485,           0.0026316,           0.0026316,           0.0026316
                  74,            0.010156,           0.0056535,           0.0089128,             0.94783,              0.9486,             0.96558,             0.90736,           0.0051443,           0.0025495,           0.0022616,           0.0025241,           0.0025241,           0.0025241
                  75,            0.010062,           0.0056447,           0.0086473,             0.94904,             0.94879,             0.96557,             0.90791,           0.0051086,           0.0025473,           0.0022701,           0.0024195,           0.0024195,           0.0024195
