               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  45,            0.013338,           0.0066508,            0.016778,             0.93551,             0.96261,              0.9566,             0.88129,           0.0062204,           0.0027105,           0.0024111,           0.0063432,           0.0063432,           0.0063432
                  46,            0.013192,           0.0066112,            0.016199,             0.94033,             0.96233,             0.95781,             0.88262,           0.0062192,           0.0027081,           0.0024038,            0.006204,            0.006204,            0.006204
                  47,            0.013163,           0.0066136,            0.016306,             0.94336,             0.96113,             0.95934,             0.88406,           0.0062145,           0.0027049,           0.0023967,            0.006064,            0.006064,            0.006064
                  48,            0.013007,           0.0065643,            0.015957,             0.94403,             0.96101,             0.96058,             0.88539,           0.0062138,           0.0027037,           0.0023862,           0.0059235,           0.0059235,           0.0059235
                  49,             0.01293,           0.0065593,            0.016127,             0.94547,             0.96266,             0.96173,             0.88638,           0.0062203,           0.0027024,           0.0023673,           0.0057826,           0.0057826,           0.0057826
                  50,            0.012907,           0.0065099,            0.015746,             0.94844,             0.96041,             0.96245,             0.88697,           0.0062232,           0.0027015,           0.0023623,           0.0056413,           0.0056413,           0.0056413
                  51,            0.012792,           0.0064959,            0.015702,              0.9492,             0.95987,             0.96307,             0.88757,            0.006217,           0.0026983,           0.0023528,              0.0055,              0.0055,              0.0055
                  52,            0.012689,           0.0064479,            0.015634,             0.94465,             0.96494,             0.96347,              0.8876,           0.0062295,           0.0026976,            0.002344,           0.0053587,           0.0053587,           0.0053587
                  53,            0.012628,           0.0064399,            0.015359,             0.94678,             0.96339,             0.96379,             0.88819,           0.0062131,           0.0026973,           0.0023324,           0.0052174,           0.0052174,           0.0052174
                  54,            0.012613,           0.0064038,            0.015415,             0.94994,             0.96206,             0.96432,             0.88887,           0.0062117,            0.002697,           0.0023255,           0.0050765,           0.0050765,           0.0050765
                  55,            0.012482,           0.0064126,            0.015221,             0.95012,             0.96134,             0.96455,             0.88912,           0.0061963,           0.0026974,           0.0023186,            0.004936,            0.004936,            0.004936
                  56,            0.012418,           0.0063579,            0.015249,             0.95273,             0.96023,             0.96513,             0.88984,           0.0061865,           0.0026957,           0.0023063,            0.004796,            0.004796,            0.004796
                  57,             0.01233,             0.00635,            0.014714,              0.9506,             0.96386,             0.96552,             0.89038,           0.0061753,           0.0026906,           0.0023022,           0.0046568,           0.0046568,           0.0046568
                  58,            0.012153,           0.0063321,            0.014683,              0.9511,             0.96311,             0.96561,             0.89101,           0.0061546,           0.0026825,           0.0023009,           0.0045184,           0.0045184,           0.0045184
                  59,            0.012076,           0.0063067,            0.014395,             0.95037,             0.96292,             0.96533,             0.89146,           0.0061156,           0.0026757,           0.0022978,           0.0043809,           0.0043809,           0.0043809
                  60,            0.012037,           0.0062712,            0.014278,             0.95378,             0.96127,             0.96563,               0.892,           0.0060845,           0.0026729,           0.0022981,           0.0042445,           0.0042445,           0.0042445
                  61,            0.011942,           0.0062456,            0.014292,             0.95822,             0.95777,             0.96582,             0.89273,           0.0060519,           0.0026714,           0.0022954,           0.0041094,           0.0041094,           0.0041094
                  62,            0.011875,           0.0062242,            0.014349,             0.95878,             0.95809,              0.9662,              0.8936,           0.0060001,           0.0026673,           0.0022885,           0.0039757,           0.0039757,           0.0039757
                  63,            0.011759,           0.0062037,            0.014086,               0.959,             0.95885,             0.96639,             0.89414,           0.0059723,           0.0026632,            0.002278,           0.0038434,           0.0038434,           0.0038434
                  64,            0.011639,           0.0061802,             0.01393,             0.95793,             0.96097,             0.96653,             0.89453,           0.0059559,           0.0026614,           0.0022642,           0.0037128,           0.0037128,           0.0037128
                  65,            0.011619,           0.0061517,            0.013603,             0.95584,             0.96359,             0.96667,             0.89503,           0.0059267,           0.0026583,           0.0022549,            0.003584,            0.003584,            0.003584
                  66,            0.011507,           0.0061139,            0.013345,             0.95951,             0.96135,             0.96684,              0.8952,           0.0059215,           0.0026575,           0.0022471,            0.003457,            0.003457,            0.003457
                  67,            0.011391,           0.0060941,            0.013463,             0.95998,             0.96187,             0.96675,             0.89477,           0.0059218,           0.0026575,           0.0022404,           0.0033321,           0.0033321,           0.0033321
                  68,            0.011333,           0.0060861,            0.013281,             0.96023,             0.96241,             0.96681,             0.89507,           0.0059057,           0.0026538,            0.002232,           0.0032093,           0.0032093,           0.0032093
                  69,            0.011238,           0.0060652,             0.01328,             0.96041,             0.95792,              0.9649,             0.89363,           0.0058667,           0.0026511,            0.002227,           0.0030888,           0.0030888,           0.0030888
                  70,            0.011178,           0.0060234,            0.013226,             0.96162,             0.96135,             0.96696,             0.89587,           0.0058469,           0.0026508,           0.0022181,           0.0029706,           0.0029706,           0.0029706
                  71,            0.011085,           0.0059878,            0.012797,             0.96412,              0.9597,             0.96729,              0.8965,           0.0058205,           0.0026465,           0.0022048,            0.002855,            0.002855,            0.002855
                  72,            0.011003,           0.0059811,            0.012709,             0.96395,             0.95971,              0.9673,             0.89705,           0.0057871,           0.0026401,           0.0021957,           0.0027419,           0.0027419,           0.0027419
                  73,            0.010934,           0.0059616,            0.012764,             0.96532,             0.95906,             0.96743,             0.89777,           0.0057693,           0.0026356,           0.0021915,           0.0026316,           0.0026316,           0.0026316
                  74,            0.010763,           0.0059312,            0.012305,             0.96452,             0.95922,             0.96725,             0.89828,           0.0057334,           0.0026316,           0.0021894,           0.0025241,           0.0025241,           0.0025241
                  75,            0.010677,           0.0059082,            0.012011,             0.96458,             0.95873,             0.96707,             0.89897,            0.005687,           0.0026285,           0.0021984,           0.0024195,           0.0024195,           0.0024195
                  76,            0.010636,           0.0058683,             0.01209,             0.96441,             0.95855,             0.96685,              0.8995,           0.0056574,           0.0026249,           0.0021961,            0.002318,            0.002318,            0.002318
                  77,            0.010524,           0.0058292,            0.011962,             0.96481,              0.9586,             0.96689,              0.8999,           0.0056291,           0.0026253,            0.002192,           0.0022196,           0.0022196,           0.0022196
                  78,             0.01044,           0.0058438,             0.01158,             0.96328,              0.9599,             0.96699,             0.90064,           0.0056045,           0.0026243,           0.0021914,           0.0021245,           0.0021245,           0.0021245
                  79,            0.010325,           0.0058291,            0.011599,             0.96377,             0.95926,             0.96687,             0.90054,           0.0055828,           0.0026228,           0.0021943,           0.0020327,           0.0020327,           0.0020327
                  80,            0.010304,           0.0057759,            0.011456,             0.96446,             0.95922,             0.96694,             0.90125,           0.0055437,           0.0026222,           0.0021938,           0.0019443,           0.0019443,           0.0019443
                  81,            0.010175,           0.0057239,             0.01129,              0.9632,             0.95918,             0.96688,             0.90186,            0.005514,           0.0026224,           0.0021936,           0.0018594,           0.0018594,           0.0018594
                  82,            0.010112,           0.0057172,            0.011007,             0.96241,             0.95913,             0.96659,             0.90183,           0.0054928,           0.0026219,           0.0021992,           0.0017781,           0.0017781,           0.0017781
                  83,             0.01009,           0.0057334,            0.010967,             0.96047,             0.96027,             0.96663,             0.90272,           0.0054713,           0.0026192,           0.0022087,           0.0017005,           0.0017005,           0.0017005
                  84,           0.0099514,           0.0056786,            0.010893,             0.96125,             0.95998,             0.96657,             0.90305,           0.0054375,            0.002617,           0.0022187,           0.0016267,           0.0016267,           0.0016267
                  85,           0.0098622,           0.0056575,            0.010879,             0.96006,             0.95957,             0.96662,             0.90419,           0.0053958,            0.002614,           0.0022269,           0.0015566,           0.0015566,           0.0015566
                  86,           0.0097942,           0.0056189,            0.010645,             0.95884,             0.95922,             0.96661,             0.90481,           0.0053707,           0.0026146,           0.0022321,           0.0014905,           0.0014905,           0.0014905
                  87,           0.0097666,           0.0056393,            0.010484,             0.95844,             0.95951,              0.9666,             0.90553,           0.0053408,           0.0026145,           0.0022413,           0.0014283,           0.0014283,           0.0014283
                  88,           0.0096942,           0.0055883,             0.01054,             0.95824,             0.95905,             0.96659,             0.90618,           0.0053159,           0.0026131,           0.0022501,           0.0013701,           0.0013701,           0.0013701
                  89,            0.009642,           0.0056048,            0.010399,             0.95708,             0.95927,              0.9667,             0.90674,           0.0052773,           0.0026093,           0.0022531,            0.001316,            0.001316,            0.001316
                  90,           0.0095421,           0.0055922,            0.010009,             0.96021,              0.9559,             0.96669,             0.90727,           0.0052504,           0.0026053,           0.0022603,            0.001266,            0.001266,            0.001266
                  91,           0.0095174,           0.0055508,            0.010162,             0.95978,             0.95616,              0.9669,             0.90803,           0.0052269,           0.0026024,           0.0022576,           0.0012202,           0.0012202,           0.0012202
                  92,           0.0094333,           0.0055502,           0.0098865,             0.96357,             0.95304,             0.96678,             0.90838,           0.0052092,           0.0026004,           0.0022634,           0.0011787,           0.0011787,           0.0011787
                  93,           0.0094467,           0.0055059,           0.0099095,             0.95414,             0.96058,             0.96692,             0.90901,           0.0051805,           0.0025984,           0.0022665,           0.0011414,           0.0011414,           0.0011414
                  94,           0.0093619,           0.0055117,           0.0097953,             0.95941,              0.9556,             0.96679,             0.90954,           0.0051572,           0.0025961,           0.0022819,           0.0011084,           0.0011084,           0.0011084
                  95,           0.0093469,           0.0055106,           0.0099382,             0.95991,             0.95533,             0.96674,             0.91031,           0.0051165,           0.0025915,           0.0022859,           0.0010797,           0.0010797,           0.0010797
                  96,           0.0093177,            0.005478,           0.0096131,             0.95924,             0.95529,             0.96678,             0.91114,           0.0050826,           0.0025869,           0.0022949,           0.0010554,           0.0010554,           0.0010554
                  97,           0.0093111,           0.0054919,           0.0095265,             0.95919,             0.95543,             0.96687,             0.91196,           0.0050465,           0.0025832,            0.002295,           0.0010355,           0.0010355,           0.0010355
                  98,           0.0092475,           0.0055085,           0.0095289,             0.95531,             0.95795,             0.96667,             0.91247,           0.0050197,           0.0025805,           0.0022936,             0.00102,             0.00102,             0.00102
                  99,            0.009209,            0.005461,           0.0096357,             0.95823,             0.95427,             0.96649,             0.91283,           0.0049865,           0.0025767,           0.0023028,           0.0010089,           0.0010089,           0.0010089
